artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Johann Sebastian Bach,5zv1NaJZlrvudh6kXiW00C,"Sonata No. 3 for Violin & Harpsichord in E Major, BWV 1016: II. Allegro",0.8640000000000001,0.555,160173,0.427,0.000106,1,0.16,-16.255,0,0.0406,114.188,4,0.8109999999999999,5
Toosii,0i6asO8kl8qUAXXRgpuRxi,Karma,0.0104,0.619,197721,0.66,0.0,5,0.0995,-7.797000000000001,0,0.118,140.02200000000002,4,0.305,0
Drew Jacobs,764Kcf1Ac6QikkIiL7WUb8,Die a Happy Man,0.725,0.502,229608,0.4039999999999999,1.41e-06,2,0.147,-7.011,1,0.0294,165.922,4,0.242,22
Kareemulla,7zj67UIFjmhha66BhqXGIS,Udayinche Suryudila,0.138,0.58,182349,0.76,0.0,11,0.0769,-5.792000000000001,0,0.0517,171.731,4,0.3979999999999999,0
Johann Sebastian Bach,2vO5wNNXjXU28OWp5gyHEO,"Unaccompanied Cello Suite No. 2 in D Minor, BWV 1008: I. Prélude",0.963,0.1989999999999999,252613,0.0356,0.937,2,0.11,-25.1,0,0.0564,94.771,4,0.18,40
Jenni Rivera,4KS9SbrwuJYHScdMEOZEah,Las Cuentas Claras,0.784,0.581,206440,0.301,3.9500000000000005e-05,11,0.171,-6.337000000000001,1,0.0518,88.546,4,0.611,39
Mr. 2Kay,668L4NGvAN8ALuZOslHVmM,Your Body,0.146,0.826,217731,0.821,0.0,9,0.186,-3.894,0,0.0928,107.026,4,0.933,6
Strick,0Lav3mtSegjJgm8GnRh4QA,Love Lost (feat. Young Thug),0.0693,0.7809999999999999,233627,0.698,0.0011,2,0.156,-5.297000000000001,1,0.185,75.008,4,0.42,19
MO3,5kaq5PuVolNgv2VK7sIrZh,Right Now,0.24,0.845,224938,0.594,0.0,5,0.0956,-5.384,0,0.293,132.094,4,0.86,0
Toad Gadget,0w8qUHWMcqKo2ZwlUGojNX,Kisses,0.51,0.491,72098,0.536,0.746,7,0.133,-12.027,1,0.0686,119.888,3,0.226,3
Johann Sebastian Bach,6oU7hj2dQDOdJUi1kGtFI4,"Trio Sonata No. 3, BWV 527: I. Allegro",0.86,0.163,288840,0.015,0.978,2,0.0875,-33.178000000000004,0,0.0406,134.356,4,0.2,3
Senses Fail,1bbRM6nUzzoO6vhfNx9h3n,Elevator to the Gallows,1.6899999999999997e-05,0.547,224000,0.957,0.0,2,0.3829999999999999,-3.829,1,0.051,109.986,4,0.433,39
Nursery Rhymes 123,1hBDIYsMxCo16Mr2MG5yfh,Here We Go Round the Mulberry Bush,0.71,0.799,93681,0.434,0.0,7,0.2189999999999999,-8.543,1,0.0468,93.032,4,0.711,37
Rockabye Baby!,2XGykMbr5WH7YyPPcfC1tq,Wildflowers,0.888,0.723,185880,0.0304,0.7170000000000001,5,0.108,-18.697,1,0.0752,87.008,4,0.6509999999999999,30
Moxas,6BnqdSKQVlmT17sSHIpUU3,No Hook,0.00159,0.879,150361,0.49,0.0,0,0.218,-9.38,0,0.0793,83.03299999999999,4,0.258,23
